Full Name,Year,Type of Publication,Title,List of Coauthors,Num of Coauthors,Venue,CORE Rank
Wai Kin Adams Kong,2016,Journal Article,A Fully Automatic Method for Gridding Bright Field Images of Bead-Based Microarrays.,"['Abhik Datta', 'Kin-Choong Yow', 'Wai Kin Adams Kong']",3,IEEE J. Biomed. Health Informatics,Unknown
Wai Kin Adams Kong,2016,Conference Paper,Using a CNN ensemble for detecting pornographic and upskirt images.,"['Yi Huang', 'Wai Kin Adams Kong']",2,BTAS,Unknown
Wai Kin Adams Kong,2016,Conference Paper,Tattoo detection based on CNN and remarks on the NIST database.,"['Qingyong Xu', 'Soham Ghosh', 'Xingpeng Xu', 'Yi Huang', 'Wai Kin Adams Kong']",5,ICB,Unknown
Wai Kin Adams Kong,2016,Conference Paper,A geometric-based tattoo retrieval system.,"['Xingpeng Xu', 'Wai Kin Adams Kong']",2,ICPR,B
Wai Kin Adams Kong,2016,Conference Paper,Learning from small data: A pairwise approach for ordinal regression.,"['Yanzhu Liu', 'Xiaojie Li', 'Chi Keong Goh', 'Wai Kin Adams Kong']",4,SSCI,Unknown
Wai Kin Adams Kong,2015,Journal Article,A Statistical Analysis of IrisCode and Its Security Implications.,['Wai Kin Adams Kong'],1,IEEE Trans. Pattern Anal. Mach. Intell.,Unknown
Wai Kin Adams Kong,2015,Journal Article,On Criminal Identification in Color Skin Images Using Skin Marks (RPPVSM) and Fusion With Inferred Vein Patterns.,"['Arfika Nurhudatiana', 'Wai Kin Adams Kong']",2,IEEE Trans. Inf. Forensics Secur.,Unknown
Wai Kin Adams Kong,2015,Conference Paper,Using Hair Follicles with Leg Geometry to Align Androgenic Hair Patterns.,"['Frodo Kin-Sun Chan', 'Wai Kin Adams Kong']",2,EISIC,Unknown
Wai Kin Adams Kong,2015,Conference Paper,Identifying Critical Factors Influencing Quality of Blood Vessel Information in JPEG Compressed Skin Images.,"['Xiaojie Li', 'Wai Kin Adams Kong']",2,SSCI,Unknown
Wai Kin Adams Kong,2014,Journal Article,A Study on Low Resolution Androgenic Hair Patterns for Criminal and Victim Identification.,"['Han Su', 'Wai Kin Adams Kong']",2,IEEE Trans. Inf. Forensics Secur.,Unknown
Wai Kin Adams Kong,2014,Conference Paper,A study of similarity between genetically identical body vein patterns.,"['Hengyi Zhang', 'Chaoying Tang', 'Xiaojie Li', 'Wai Kin Adams Kong']",4,CIBIM,Unknown
Wai Kin Adams Kong,2014,Conference Paper,A preliminary report on a full-body imaging system for effectively collecting and processing biometric traits of prisoners.,"['Nhat Quang Huynh', 'Xingpeng Xu', 'Sathyan Subbiah', 'Wai Kin Adams Kong']",4,CIBIM,Unknown
Wai Kin Adams Kong,2014,Conference Paper,Speeding up the knowledge-based deblocking method for efficient forensic analysis.,"['Yanzhu Liu', 'Xiaojie Li', 'Wai Kin Adams Kong']",3,CIBIM,Unknown
Wai Kin Adams Kong,2014,Conference Paper,Vein Pattern Visualization through Multiple Mapping Models and Local Parameter Estimation for Forensic Investigation.,"['Hamid Reza Sharifzadeh', 'Hengyi Zhang', 'Wai Kin Adams Kong']",3,ICPR,B
Wai Kin Adams Kong,2014,Conference Paper,A Preliminary Study of Lower Leg Geometry as a Soft Biometric Trait for Forensic Investigation.,"['Md. Rabiul Islam', 'Frodo Kin-Sun Chan', 'Wai Kin Adams Kong']",3,ICPR,B
Wai Kin Adams Kong,2014,Conference Paper,Using Leg Geometry to Align Androgenic Hair Patterns in Low Resolution Images for Criminal and Victim Identification.,"['Frodo Kin-Sun Chan', 'Wai Kin Adams Kong']",2,ICPR,B
